Name,Active__c,Description__c,Object_Name__c,Parameters__c,Query_Key__c,Query_Source__c,Query_Text__c,Query_Type__c,Status__c,Allowed_Permission_Sets__c
QS-0000,true,Semi-join: Accounts that have at least one open Opportunity via WHERE IN subquery.,Account,,Accounts With At Least One Open Opportunity (Semi-Join),Inline,"SELECT Id, Name, Industry, Phone FROM Account WHERE Id IN (SELECT AccountId FROM Opportunity WHERE IsClosed = false)",SOQL,Active,
QS-0001,true,Parent-to-child: Account with its related Contacts subquery.,Account,"[{""name"":""accountId"",""type"":""Id"",""required"":true}]",Accounts With Contacts,Inline,"SELECT Id, Name, Industry, (SELECT Id, FirstName, LastName, Email FROM Contacts ORDER BY LastName) FROM Account WHERE Id = :accountId",SOQL,Active,
QS-0002,true,Anti-join: Accounts that have no related Contacts via WHERE NOT IN subquery.,Account,,Accounts With No Contacts (Anti-Join),Inline,"SELECT Id, Name, Industry, Phone, CreatedDate FROM Account WHERE Id NOT IN (SELECT AccountId FROM Contact WHERE AccountId != null)",SOQL,Active,
QS-0003,true,Multiple subqueries: Account with open Opportunities and open Cases.,Account,"[{""name"":""accountId"",""type"":""Id"",""required"":true}]",Accounts With Open Opportunities And Cases,Inline,"SELECT Id, Name, (SELECT Id, Name, StageName, Amount FROM Opportunities WHERE IsClosed = false), (SELECT Id, CaseNumber, Status FROM Cases WHERE IsClosed = false) FROM Account WHERE Id = :accountId",SOQL,Active,
QS-0004,true,"AVG, MAX, MIN of Opportunity Amount per Account with a HAVING filter.",Opportunity,"[{""name"":""minAvg"",""type"":""Decimal"",""required"":true}]",Average Opportunity Amount By Account,Inline,"SELECT AccountId, AVG(Amount) avgAmount, MAX(Amount) maxAmount, MIN(Amount) minAmount FROM Opportunity WHERE Amount != null GROUP BY AccountId HAVING AVG(Amount) > :minAvg",SOQL,Active,
QS-0005,true,COUNT of Cases grouped by both Status and Priority - 2D breakdown.,Case,,Case Count By Status And Priority,Inline,"SELECT Status, Priority, COUNT(Id) caseCount FROM Case GROUP BY Status, Priority ORDER BY Status, Priority",SOQL,Active,
QS-0006,true,Child-to-parent: Case traversing Contact and Account relationships.,Case,,Cases With Contact And Account,Inline,"SELECT Id, CaseNumber, Subject, Status, Contact.Name, Contact.Email, Account.Name FROM Case WHERE IsClosed = false",SOQL,Active,
QS-0007,true,Child-to-parent: Contact records traversing up to Account fields.,Contact,,Contacts With Account Name,Inline,"SELECT Id, FirstName, LastName, Email, Account.Name, Account.Industry FROM Contact WHERE AccountId != null",SOQL,Active,
QS-0008,true,COUNT grouped by Industry - number of Accounts per industry.,Account,,Count Accounts By Industry,Inline,"SELECT Industry, COUNT(Id) recordCount FROM Account WHERE Industry != null GROUP BY Industry ORDER BY COUNT(Id) DESC",SOQL,Active,
QS-0009,true,COUNT_DISTINCT: number of unique Industry values across all Accounts.,Account,,Count Distinct Industries Across Accounts,Inline,SELECT COUNT_DISTINCT(Industry) distinctIndustries FROM Account WHERE Industry != null,SOQL,Active,
QS-0010,true,Filters Accounts by the Industry picklist value.,Account,"[{""name"":""industry"",""type"":""String"",""required"":true,""default"":""Banking""}]",Get Accounts By Industry,Inline,"SELECT Id, Name, Industry, Rating FROM Account WHERE Industry = :industry",SOQL,Active,
QS-0011,true,Returns all Account records with basic fields.,Account,,Get All Accounts,Inline,"SELECT Id, Name, Industry, Type, Phone FROM Account LIMIT 200",SOQL,Active,
QS-0012,true,Filters Cases by their Status value.,Case,"[{""name"":""status"",""type"":""String"",""required"":true}]",Get Cases By Status,Inline,"SELECT Id, CaseNumber, Subject, Status, Priority FROM Case WHERE Status = :status",SOQL,Active,
QS-0013,true,Open cases filtered by both Account and Contact.,Case,"[{""name"":""accountId"",""type"":""Id"",""required"":true},{""name"":""contactId"",""type"":""Id"",""required"":true}]",Get Cases For Contact On Account,Inline,"SELECT Id, CaseNumber, Subject, Status, Priority, CreatedDate, Contact.Name, Contact.Email, Account.Name, Account.Industry FROM Case WHERE AccountId = :accountId AND ContactId = :contactId AND IsClosed = false ORDER BY CreatedDate DESC",SOQL,Active,
QS-0014,true,Returns Contacts belonging to a given Account.,Contact,"[{""name"":""accountId"",""type"":""Id"",""required"":true}]",Get Contacts By Account,Inline,"SELECT Id, FirstName, LastName, Email, Phone FROM Contact WHERE AccountId = :accountId",SOQL,Active,
QS-0015,true,OR compound condition - Cases that are High Priority or Escalated.,Case,,Get High Priority Or Escalated Cases,Inline,"SELECT Id, CaseNumber, Subject, Status, Priority, IsEscalated FROM Case WHERE Priority = 'High' OR IsEscalated = true ORDER BY CreatedDate DESC",SOQL,Active,
QS-0016,true,Current user filter - open Tasks owned by the running user via UserInfo.getUserId().,Task,"[{""name"":""currentUserId"",""type"":""Id"",""required"":true}]",Get My Open Tasks,Inline,"SELECT Id, Subject, Status, Priority, ActivityDate, What.Name, Who.Name FROM Task WHERE OwnerId = :currentUserId AND IsClosed = false ORDER BY ActivityDate ASC",SOQL,Active,
QS-0017,true,Returns all open Opportunities ordered by close date.,Opportunity,,Get Open Opportunities,Inline,"SELECT Id, Name, StageName, Amount, CloseDate FROM Opportunity WHERE IsClosed = false ORDER BY CloseDate ASC",SOQL,Active,
QS-0018,true,WITH USER_MODE enforces FLS and record sharing at the query level.,Opportunity,,Get Open Opportunities With User Mode (FLS Enforced),Inline,"SELECT Id, Name, StageName, Amount, CloseDate, Account.Name FROM Opportunity WHERE IsClosed = false WITH USER_MODE ORDER BY CloseDate ASC",SOQL,Active,
